A01,20210901-p01-NJW,5
B01,20210901-p01-NJW,5
C01,20210901-p01-NJW,5
D01,20210901-p01-NJW,NA
A02,20210901-p01-NJW,5
B02,20210901-p01-NJW,5
C02,20210901-p01-NJW,5
D02,20210901-p01-NJW,5
A03,20210901-p01-NJW,5
B03,20210901-p01-NJW,5
C03,20210901-p01-NJW,5
D03,20210901-p01-NJW,5
A04,20210901-p01-NJW,5
B04,20210901-p01-NJW,5
C04,20210901-p01-NJW,5
D04,20210901-p01-NJW,5
A05,20210901-p01-NJW,5
B05,20210901-p01-NJW,5
C05,20210901-p01-NJW,5
D05,20210901-p01-NJW,5
A06,20210901-p01-NJW,5
B06,20210901-p01-NJW,5
C06,20210901-p01-NJW,5
D06,20210901-p01-NJW,5
A01,20210901-p03-NJW,5
B01,20210901-p03-NJW,5
C01,20210901-p03-NJW,5
D01,20210901-p03-NJW,5
A02,20210901-p03-NJW,5
B02,20210901-p03-NJW,5
C02,20210901-p03-NJW,5
D02,20210901-p03-NJW,5
A03,20210901-p03-NJW,5
B03,20210901-p03-NJW,5
C03,20210901-p03-NJW,5
D03,20210901-p03-NJW,5
A04,20210901-p03-NJW,5
B04,20210901-p03-NJW,5
C04,20210901-p03-NJW,4
D04,20210901-p03-NJW,3
A05,20210901-p03-NJW,5
B05,20210901-p03-NJW,2
C05,20210901-p03-NJW,2
D05,20210901-p03-NJW,5
A06,20210901-p03-NJW,5
B06,20210901-p03-NJW,5
C06,20210901-p03-NJW,5
D06,20210901-p03-NJW,5
A01,20210901-p05-NJW,5
B01,20210901-p05-NJW,5
C01,20210901-p05-NJW,5
D01,20210901-p05-NJW,5
A02,20210901-p05-NJW,5
B02,20210901-p05-NJW,5
C02,20210901-p05-NJW,5
D02,20210901-p05-NJW,5
A03,20210901-p05-NJW,5
B03,20210901-p05-NJW,4
C03,20210901-p05-NJW,5
D03,20210901-p05-NJW,5
A04,20210901-p05-NJW,5
B04,20210901-p05-NJW,5
C04,20210901-p05-NJW,5
D04,20210901-p05-NJW,4
A05,20210901-p05-NJW,5
B05,20210901-p05-NJW,5
C05,20210901-p05-NJW,5
D05,20210901-p05-NJW,5
A06,20210901-p05-NJW,5
B06,20210901-p05-NJW,5
C06,20210901-p05-NJW,5
D06,20210901-p05-NJW,5
A01,20210901-p07-NJW,5
B01,20210901-p07-NJW,5
C01,20210901-p07-NJW,5
D01,20210901-p07-NJW,5
A02,20210901-p07-NJW,5
